stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,9.7832799,10.3246836,10.3246836,10.3436147,10.6266142,right,10,1,1,1.6626253,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
1,1,8,12.0094027,12.510312,12.510312,12.510312,12.8099562,left,-8,0,0,0.3099439,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
2,1,9,12.8426281,13.3430318,13.3430318,13.3430318,13.6428547,left,-9,0,0,0.2859444,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
3,1,10,13.659388,14.1594221,14.1594221,14.1594221,14.4588457,right,10,1,1,0.2673762,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
4,1,10,14.4588457,14.9584098,14.9584098,14.9584098,15.2583183,left,-10,0,0,0.315998,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
5,1,11,15.2918188,15.791721,15.791721,15.791721,16.0918862,left,-11,0,0,0.4263667,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
6,1,12,16.241757,16.7413218,16.7413218,16.7413218,17.0411853,left,-12,0,0,0.5012213,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
7,1,13,17.2892656,17.7742094,17.7742094,17.7909689,18.0747106,left,-13,0,0,2.0989537,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
8,1,14,19.8903014,20.3909748,20.3909748,20.3909748,,right,14,1,1,0.149393,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
9,1,14,20.5569253,21.0569033,21.0569033,21.0569033,,left,-14,0,0,0.1412476,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
10,1,15,21.2227816,21.7064393,21.7064393,21.7232354,,right,15,1,1,0.2547836,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
11,1,15,21.9895517,22.4898265,22.4898265,22.4898265,,right,15,1,1,0.1838925,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
12,1,15,22.705867,23.2070275,23.2070275,23.2070275,,left,-15,0,0,0.1847181,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
13,1,16,23.4225093,23.9222059,23.9222059,23.9222059,,left,-16,0,0,0.1215908,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
14,1,17,24.0718863,24.5558594,24.5558594,24.5724497,24.8556713,right,17,1,1,0.3465748,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
15,1,17,24.9217454,25.4224729,25.4224729,25.4224729,,right,17,1,1,0.2534878,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
16,1,17,25.705149,26.2052837,26.2052837,26.2052837,26.5043529,right,17,1,1,0.2681985,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
17,1,16,26.5043529,27.0047283,27.0047283,27.0047283,,right,16,1,1,0.2066991,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
18,0.5,16,27.2377016,27.7381148,27.7381148,27.7381148,28.0537844,left,-16,0,0,0.296693,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
19,0.5,16.5,28.0537844,28.5550824,28.5550824,28.5550824,,right,16.5,1,1,0.2371726,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
20,0.5,16.5,28.8212543,29.3039926,29.3039926,29.3205088,,left,-16.5,0,0,0.2265602,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
21,0.5,17,29.5540682,30.0538148,30.0538148,30.0538148,30.3538741,right,17,1,1,0.4406237,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
22,0.5,17,30.5204285,31.0199573,31.0199573,31.0199573,,left,-17,0,0,0.1424645,884082,1,2023-09-06_11h37.42.307,experiment 2,2023.1.3,60.55394753
