7.1559 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002A548978EB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002A548978E50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002A548978B80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002A5499114C0>, multiSample=False, name='window1', numSamples=2, pos=(140, 60), screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1566 	EXP 	window1: mouseVisible = True
7.1567 	EXP 	window1: backgroundImage = ''
7.1567 	EXP 	window1: backgroundFit = 'none'
7.1568 	EXP 	window1: mouseVisible = True
7.1568 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.1568 	EXP 	window1: recordFrameIntervals = False
7.3286 	EXP 	window1: recordFrameIntervals = True
7.5118 	EXP 	Screen (0) actual frame rate measured at 60.55Hz
7.5119 	EXP 	window1: recordFrameIntervals = False
7.5502 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
9.7502 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
9.7645 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
9.7646 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
9.7833 	EXP 	grating: ori = 10.0
9.7833 	EXP 	fixation: autoDraw = True
10.3247 	EXP 	grating: autoDraw = True
10.3247 	EXP 	grating: tex = 'sin'
10.3436 	EXP 	fixation: autoDraw = False
10.6266 	EXP 	grating: autoDraw = False
12.0047 	DATA 	Keypress: right
12.0094 	EXP 	fixation: autoDraw = False
12.0094 	EXP 	grating: autoDraw = False
12.0094 	EXP 	grating: ori = -8.0
12.0094 	EXP 	fixation: autoDraw = True
12.3952 	DATA 	Keypress: right
12.5103 	EXP 	fixation: autoDraw = False
12.5103 	EXP 	grating: autoDraw = True
12.8100 	EXP 	grating: autoDraw = False
12.8307 	DATA 	Keypress: right
12.8426 	EXP 	fixation: autoDraw = False
12.8426 	EXP 	grating: autoDraw = False
12.8426 	EXP 	grating: ori = -9.0
12.8426 	EXP 	fixation: autoDraw = True
13.1947 	DATA 	Keypress: right
13.3430 	EXP 	fixation: autoDraw = False
13.3430 	EXP 	grating: autoDraw = True
13.6429 	EXP 	grating: autoDraw = False
13.6458 	DATA 	Keypress: right
13.6594 	EXP 	fixation: autoDraw = False
13.6594 	EXP 	grating: autoDraw = False
13.6594 	EXP 	grating: ori = 10.0
13.6594 	EXP 	fixation: autoDraw = True
14.0281 	DATA 	Keypress: right
14.1594 	EXP 	fixation: autoDraw = False
14.1594 	EXP 	grating: autoDraw = True
14.4455 	DATA 	Keypress: right
14.4588 	EXP 	grating: autoDraw = False
14.4588 	EXP 	fixation: autoDraw = False
14.4588 	EXP 	grating: autoDraw = False
14.4588 	EXP 	grating: ori = -10.0
14.4588 	EXP 	fixation: autoDraw = True
14.8777 	DATA 	Keypress: right
14.9584 	EXP 	fixation: autoDraw = False
14.9584 	EXP 	grating: autoDraw = True
15.2583 	EXP 	grating: autoDraw = False
15.2780 	DATA 	Keypress: right
15.2918 	EXP 	fixation: autoDraw = False
15.2918 	EXP 	grating: autoDraw = False
15.2918 	EXP 	grating: ori = -11.0
15.2918 	EXP 	fixation: autoDraw = True
15.7917 	EXP 	fixation: autoDraw = False
15.7917 	EXP 	grating: autoDraw = True
15.7936 	DATA 	Keypress: right
16.0919 	EXP 	grating: autoDraw = False
16.2285 	DATA 	Keypress: right
16.2418 	EXP 	fixation: autoDraw = False
16.2418 	EXP 	grating: autoDraw = False
16.2418 	EXP 	grating: ori = -12.0
16.2418 	EXP 	fixation: autoDraw = True
16.6926 	DATA 	Keypress: right
16.7413 	EXP 	fixation: autoDraw = False
16.7413 	EXP 	grating: autoDraw = True
17.0412 	EXP 	grating: autoDraw = False
17.2831 	DATA 	Keypress: right
17.2893 	EXP 	fixation: autoDraw = False
17.2893 	EXP 	grating: autoDraw = False
17.2893 	EXP 	grating: ori = -13.0
17.2893 	EXP 	fixation: autoDraw = True
17.7259 	DATA 	Keypress: right
17.7742 	EXP 	grating: autoDraw = True
17.7910 	EXP 	fixation: autoDraw = False
18.0747 	EXP 	grating: autoDraw = False
19.8774 	DATA 	Keypress: right
19.8903 	EXP 	fixation: autoDraw = False
19.8903 	EXP 	grating: autoDraw = False
19.8903 	EXP 	grating: ori = 14.0
19.8903 	EXP 	fixation: autoDraw = True
20.1928 	DATA 	Keypress: right
20.3910 	EXP 	fixation: autoDraw = False
20.3910 	EXP 	grating: autoDraw = True
20.5434 	DATA 	Keypress: right
20.5569 	EXP 	fixation: autoDraw = False
20.5569 	EXP 	grating: autoDraw = False
20.5569 	EXP 	grating: ori = -14.0
20.5569 	EXP 	fixation: autoDraw = True
20.8757 	DATA 	Keypress: right
21.0569 	EXP 	fixation: autoDraw = False
21.0569 	EXP 	grating: autoDraw = True
21.2084 	DATA 	Keypress: right
21.2228 	EXP 	fixation: autoDraw = False
21.2228 	EXP 	grating: autoDraw = False
21.2228 	EXP 	grating: ori = 15.0
